	lncRNA
9514	RP4-594L9.2
9515	LINC02707
9516	RP4-607I7.1
9517	CD44-AS1
9518	RP1-68D18.2
9519	SLC1A2-AS1
9520	RP4-683L5.1
9521	RP5-945I17.2
9522	RP1-276E15.1
9523	RP11-698N11.6
9524	RP11-698N11.5
9525	RP11-698N11.2
9526	RP5-916O11.2
9527	RP11-1110F20.1
9528	RP11-514F3.4
9529	RP11-514F3.5
9530	RP11-219O3.2
9531	RP11-545D22.1
9532	LINC02760
9533	RP11-159D8.2
9534	RP11-63D14.1
9535	LINC02759
9536	LINC01493
9537	RP11-313M3.2
9538	RP11-454H19.2
9539	RP11-63C8.1
9540	LINC02741
9541	LINC01499
9542	RP11-375D13.4
9543	RP11-375D13.3
9544	LINC02745
9545	LINC02740
9546	RP11-484D2.2
9547	RP11-484D2.5
9548	RP11-484D2.4
9549	RP11-472I20.3
9550	MIR670HG
9551	RP11-472I20.4
9552	RP11-613D13.5
9553	RP11-613D13.10
9554	ALKBH3-AS1
9555	RP11-613D13.4
9556	RP11-613D13.8
9557	CTD-2609K8.3
9558	RP11-58K22.1
9559	RP11-58K22.5
9560	RP11-58K22.4
9561	LINC02704
9562	TSPAN18-AS1
9563	LINC02685
9564	RP11-255G5.1
9565	CTD-2560E9.3
9566	CTD-2560E9.5
9567	LINC02696
9568	LINC02687
9569	RP11-430H10.4
9570	RP11-430H10.5
9571	RP11-430H10.3
9572	RP11-958J22.1
9573	RP11-958J22.3
9574	RP11-495O11.1
9575	CTD-2210P24.1
9576	CTD-2210P24.2
9577	LINC02690
9578	LINC02716
9579	CTD-2210P24.6
9580	RP11-618K13.2
9581	RP11-702F3.1
9582	RP11-702F3.3
9583	LINC02710
9584	CTD-2589M5.5
9585	LINC02489
9586	CTD-2117H17.2
9587	LRP4-AS1
9588	RP11-411D10.3
9589	RP11-390K5.3
9590	RP11-390K5.6
9591	RP11-17G12.2
9592	MADD-AS1
9593	RP11-750H9.5
9594	RP11-750H9.7
9595	RP11-76I23.7
9596	PTPRJ-AS1
9597	RP11-163O19.1
9598	RP11-347H15.7
9599	RP11-347H15.8
9600	LINC02750
9601	RP11-674C21.9
9602	LINC02735
9603	RP11-872D17.4
9604	RP11-624G17.3
9605	AP000662.4
9606	RP11-659P15.1
9607	RP11-655C2.4
9608	RP11-655C2.3
9609	CMB9-55A18.1
9610	AP001350.4
9611	RP11-780O24.2
9612	RP11-142C4.6
9613	FAM111A-DT
9614	RP11-1036E20.9
9615	CMB9-60A24.1
9616	LINC02739
9617	AP000442.1
9618	AP000640.2
9619	AP000640.10
9620	RP11-736I10.8
9621	LINC02705
9622	RP11-804A23.1
9623	RP11-804A23.2
9624	RP11-804A23.4
9625	RP11-881M11.2
9626	RP11-881M11.1
9627	RP11-881M11.4
9628	RP11-881M11.8
9629	AP000437.3
9630	CTD-2331C18.5
9631	RP11-286N22.14
9632	RP11-286N22.6
9633	RP11-286N22.10
9634	RP11-286N22.16
9635	RP11-794G24.1
9636	RP11-855O10.2
9637	RP11-855O10.3
9638	MYRF-AS1
9639	RP11-810P12.7
9640	LINC02733
9641	RP11-810P12.8
9642	RP11-703H8.9
9643	RP11-703H8.7
9644	CTD-2531D15.5
9645	CTD-2531D15.4
9646	RP11-864I4.3
9647	RP11-864I4.4
9648	RP11-831H9.3
9649	RP11-727F15.11
9650	RP11-727F15.12
9651	RP11-727F15.13
9652	RP11-727F15.9
9653	SNHG1
9654	AP000438.2
9655	RP11-838I13.5
9656	RP11-697H9.3
9657	RP11-697H9.2
9658	RP11-21A7A.2
9659	RP11-21A7A.4
9660	RP11-21A7A.3
9661	RP11-783K16.14
9662	PPP1R14B-AS1
9663	RP11-783K16.13
9664	KCNK4-TEX40
9665	AP003774.1
9666	LINC02723
9667	AP003774.5
9668	LINC02724
9669	RP11-754H12.1
9670	AP005273.1
9671	NRXN2-AS1
9672	SF1-DT
9673	MIR194-2HG
9674	AP003068.9
9675	AP003068.12
9676	RP11-399J13.2
9677	AP003068.23
9678	RP11-867O8.10
9679	RP11-867O8.11
9680	RP11-867O8.5
9681	NEAT1
9682	LINC02736
9683	CMB9-22P13.4
9684	MALAT1
9685	AP000769.7
9686	RP11-856B14.10
9687	ZNRD2-AS1
9688	RELA-DT
9689	RP11-770G2.2
9690	OVOL1-AS1
9691	RP11-770G2.5
9692	RP11-1167A19.16
9693	RP11-1167A19.2
9694	RP11-755F10.1
9695	RP11-755F10.3
9696	RP11-867G23.1
9697	RP11-867G23.2
9698	RP11-867G23.3
9699	RP11-867G23.4
9700	RP11-867G23.13
9701	RP11-867G23.12
9702	RP11-867G23.8
9703	RP11-867G23.10
9704	CTD-3074O7.5
9705	CTD-3074O7.13
9706	CTD-3074O7.2
9707	RP11-157K17.7
9708	RP11-157K17.6
9709	CTC-1337H24.3
9710	CTC-1337H24.4
9711	RPS6KB2-AS1
9712	C11orf72
9713	RP11-655M14.12
9714	OR7E11P
9715	LINC02754
9716	RP5-901A4.1
9717	RP11-802E16.3
9718	CTD-2655K5.1
9719	RP11-856M9.1
9720	CTD-2007L18.5
9721	LINC02701
9722	RP11-757G1.5
9723	RP11-554A11.4
9724	RP11-554A11.5
9725	MRGPRF-AS1
9726	RP11-554A11.7
9727	RP11-554A11.8
9728	RP11-211G23.2
9729	RP11-211G23.1
9730	AP000439.1
9731	AP000439.2
9732	AP000439.5
9733	LINC02747
9734	LINC01488
9735	RP11-643C9.1
9736	RP11-643C9.2
9737	RP11-626H12.1
9738	RP11-626H12.2
9739	LINC02753
9740	LINC02584
9741	RP11-805J14.3
9742	ANO1-AS1
9743	RP11-805J14.5
9744	AP000487.6
9745	CTA-797E19.1
9746	CTA-797E19.2
9747	AP000487.4
9748	AP000487.5
9749	AP001271.3
9750	RP11-826F13.1
9751	SHANK2-AS1
9752	SHANK2-AS2
9753	CMB9-52H4.1
9754	SHANK2-AS3
9755	RP11-598K3.1
9756	RP11-660L16.2
9757	RP11-684B2.7
9758	ALG1L9P
9759	RP11-167J8.3
9760	RP11-167J8.5
9761	RP11-849H4.4
9762	RP11-807H22.7
9763	CMB9-4J8.1
9764	AP000593.7
9765	RP11-45F15.1
9766	RP11-45F15.2
9767	RP11-7N14.1
9768	LINC01537
9769	PDE2A-AS2
9770	PDE2A-AS1
9771	ARAP1-AS1
9772	RP11-31L22.8
9773	ARAP1-AS2
9774	RP11-475M20.2
9775	RP11-800A3.3
9776	RP11-800A3.2
9777	RP11-800A3.4
9778	RP11-800A3.7
9779	RP11-809N8.2
9780	RP11-809N8.4
9781	RP11-456I15.2
9782	RP11-707G14.1
9783	RP11-167N4.2
9784	RP11-167N4.8
9785	AP000577.2
9786	P4HA3-AS1
9787	RP11-702H23.4
9788	RP11-632K5.2
9789	RP11-702H23.6
9790	AP001372.2
9791	RP11-864N7.4
9792	AP000560.3
9793	RP11-147I3.4
9794	RP11-158C6.4
9795	CTD-2562J17.2
9796	CTD-2562J17.4
9797	CTD-2562J17.7
9798	CTD-2562J17.6
9799	CTD-2562J17.9
9800	RP11-939C17.4
9801	CTD-2530H12.4
9802	CTD-2530H12.8
9803	CTD-2530H12.7
9804	CTD-2530H12.1
9805	CTD-2530H12.2
9806	RP11-535A19.1
9807	UVRAG-DT
9808	RP11-263C24.1
9809	CTD-2011F17.2
9810	RP11-619A14.2
9811	LINC02761
9812	RP11-111M22.3
9813	LINC02757
9814	RP11-672A2.6
9815	RP11-672A2.4
9816	AP001189.4
9817	RP11-672A2.3
9818	RP11-21L23.4
9819	RP11-21L23.3
9820	RP11-21L23.2
9821	CTD-2547H18.1
9822	RP11-739B23.1
9823	RSF1-IT2
9824	RSF1-IT1
9825	RP11-91P24.7
9826	RP11-91P24.5
9827	RP11-91P24.6
9828	RP11-7I15.3
9829	RP11-7I15.4
9830	KCTD21-AS1
9831	RP11-705O3.3
9832	RP11-452H21.1
9833	RP11-452H21.2
9834	LINC02728
9835	RP11-843A23.1
9836	RP11-673F18.1
9837	CTD-2337I7.1
9838	RP11-802F5.1
9839	RP11-258O13.1
9840	RP11-683O4.1
9841	CTD-2555I5.1
9842	LINC02720
9843	RP11-187P2.1
9844	RP11-875G18.1
9845	MIR4300HG
9846	RP11-876F14.1
9847	RP11-179A16.2
9848	LINC02734
9849	RP11-659G9.3
9850	RAB30-DT
9851	RP11-113K21.4
9852	RP11-113K21.6
9853	RP11-727A23.4
9854	RP11-727A23.5
9855	PCF11-AS1
9856	RP11-727A23.7
9857	RP11-727A23.10
9858	DLG2-AS2
9859	CTD-2537O9.1
9860	AP000857.3
9861	RP11-700A24.1
9862	RP11-90K17.2
9863	LINC02695
9864	RP11-317J19.1
9865	RP11-762L8.6
9866	CTD-2005H7.1
9867	CTD-2005H7.2
9868	AP000654.4
9869	RP11-736K20.5
9870	RP11-736K20.4
9871	FZD4-DT
9872	RP11-648O15.2
9873	CTD-2028E8.2
9874	RP11-137O10.1
9875	LINC02711
9876	RP11-720D4.2
9877	RP11-665E10.2
9878	RP11-665E10.6
9879	RP11-665E10.4
9880	RP11-164N3.1
9881	RP11-164N3.2
9882	RP11-164N3.3
9883	RP11-685B24.1
9884	RP11-657K20.3
9885	GRM5-AS1
9886	RP11-796A5.3
9887	RP11-796A5.4
9888	RP11-643G5.1
9889	RP11-643G5.2
9890	RP11-643G5.6
9891	RP11-643G5.7
9892	RP11-643G5.4
9893	RP11-643G5.5
9894	RP11-313I2.3
9895	RP11-313I2.11
9896	CMB9-76D16.1
9897	AP000648.4
9898	AP000648.5
9899	RP11-121L10.2
9900	DISC1FP1
9901	RP11-660M18.1
9902	RP11-678K21.1
9903	RP11-678K21.2
9904	RP11-678K21.3
9905	LINC02748
9906	RP11-739P6.1
9907	RP11-739P6.2
9908	RP11-843F11.1
9909	LINC02756
9910	RP11-806N19.2
9911	RP11-675M1.2
9912	RP11-203F8.1
9913	LINC02746
9914	RP11-676F20.1
9915	RP11-183A22.3
9916	RP11-573M3.6
9917	RP11-573M3.2
9918	RP11-573M3.5
9919	RP11-755E23.3
9920	RP11-755E23.2
9921	RP11-178H8.1
9922	RP11-178H8.2
9923	SCARNA9
9924	RP11-178H8.7
9925	RP11-680H20.2
9926	RP11-685N10.1
9927	RP11-867G2.8
9928	RP11-867G2.4
9929	RP11-867G2.5
9930	LINC02700
9931	RP11-856F16.2
9932	RP11-712B9.2
9933	RP11-338H14.1
9934	CTD-2564P9.4
9935	RP11-644L4.1
9936	RP11-822I2.1
9937	JRKL-AS1
9938	LINC02737
9939	RP11-360K13.1
9940	LINC02553
9941	LINC02713
9942	RP11-115E19.1
9943	RP11-99C10.1
9944	ARHGAP42-AS1
9945	PGR-AS1
9946	RP11-732A21.2
9947	RP11-732A21.3
9948	RP11-864G5.3
9949	RP11-640G3.1
9950	RP11-315O6.1
9951	RP11-315O6.2
9952	RP11-817J15.2
9953	RP11-817J15.3
9954	RP11-690D19.3
9955	RP11-2I22.1
9956	RP11-563P16.1
9957	RP11-617B3.2
9958	LINC02552
9959	RP11-822P4.2
9960	RP11-677I18.3
9961	LINC02719
9962	RP11-648J7.1
9963	CTD-2579L12.1
9964	RP11-819C21.1
9965	RP11-95J9.3
9966	RP11-144G7.2
9967	RP11-144G7.4
9968	RP11-25I9.3
9969	RP11-25I9.2
9970	RP11-708B6.2
9971	LINC02715
9972	RP11-361A21.4
9973	LINC02732
9974	RP11-89C3.6
9975	RP11-89C3.3
9976	LINC02550
9977	RP11-89C3.5
9978	COLCA1
9979	RP11-76P21.4
9980	RP11-794P6.1
9981	RP11-794P6.8
9982	RP11-794P6.6
9983	RP11-108O10.2
9984	ALG9-IT1
9985	RP11-708L7.6
9986	RP11-356J5.4
9987	RP11-356J5.13
9988	LINC02762
9989	LINC02763
9990	LINC02764
9991	RP11-27G22.2
9992	RP11-27G22.3
9993	RP11-27G22.1
9994	RP11-217B19.1
9995	RP11-629G13.1
9996	NCAM1-AS1
9997	RP11-839D17.3
9998	RP11-159N11.4
9999	RP11-159N11.3
10000	RP11-667M19.2
10001	RP11-667M19.10
10002	RP11-635F12.1
10003	RP11-64D24.2
10004	RP11-64D24.4
10005	AP000465.1
10006	AP000462.3
10007	AP000462.2
10008	AP000462.1
10009	RP11-136I14.2
10010	RP11-136I14.5
10011	AP000997.1
10012	AP000997.2
10013	AP000997.3
10014	LINC02698
10015	CTC-774J1.1
10016	CTC-774J1.3
10017	LINC00900
10018	LINC02703
10019	LINC02151
10020	AP000770.2
10021	LINC02702
10022	AP006216.10
10023	AP006216.5
10024	RP11-87O6.1
10025	APOA1-AS
10026	AP000936.4
10027	AP000892.6
10028	BACE1-AS
10029	CMB9-94B1.2
10030	AP000892.4
10031	AP000711.1
10032	RP11-35P15.1
10033	RP11-728F11.3
10034	RP11-728F11.4
10035	RP11-832A4.7
10036	RP11-770J1.5
10037	RP11-770J1.7
10038	RP11-770J1.4
10039	RP11-770J1.3
10040	AP002954.3
10041	AP002954.4
10042	CTC-89C10.1
10043	RP11-158I9.8
10044	RP11-158I9.5
10045	CENATAC-DT
10046	RP11-110I1.11
10047	RP11-110I1.6
10048	RP11-110I1.14
10049	VPS11-DT
10050	RP11-334E6.10
10051	USP2-AS1
10052	RP11-334E6.3
10053	THY1-AS1
10054	RP11-196E1.3
10055	NECTIN1-AS1
10056	CTD-2523D13.2
10057	RP11-215D10.3
10058	RP11-215D10.2
10059	RP11-831A10.4
10060	LINC02744
10061	RP11-831A10.1
10062	RP11-831A10.3
10063	AP000679.2
10064	RP11-778O17.4
10065	RP11-640N11.2
10066	RP11-730K11.1
10067	RP11-344F5.1
10068	RP11-166D19.3
10069	RP11-166D19.4
10070	MIR100HG
10071	RP11-716H6.1
10072	RP11-716H6.2
10073	RP11-811I7.3
10074	RP11-811I7.2
10075	RP11-762B21.7
10076	CTD-2216M2.1
10077	LINC02727
10078	RP11-634B22.4
10079	RP11-164A10.7
10080	RP11-677M14.2
10081	RP11-677M14.3
10082	RP11-677M14.8
10083	RP11-677M14.7
10084	RP11-664I21.5
10085	RP11-664I21.6
10086	CCDC15-DT
10087	RP11-687M24.4
10088	PKNOX2-AS1
10089	RP11-687M24.7
10090	RP11-687M24.8
10091	AP000708.1
10092	RP11-680F20.10
10093	RP11-680F20.9
10094	RP11-680F20.4
10095	RP11-673E11.2
10096	RP11-673E11.3
10097	RP11-50B3.2
10098	RP11-50B3.4
10099	RP11-712L6.7
10100	RP11-712L6.5
10101	GSEC
10102	KIRREL3-AS1
10103	RP11-115C10.1
10104	RP11-688I9.4
10105	RP11-688I9.5
10106	KIRREL3-AS2
10107	RP11-688I9.2
10108	KIRREL3-AS3
10109	RP11-168K9.1
10110	CTD-2234N14.1
10111	LINC02712
10112	LINC02725
10113	LINC02098
10114	ETS1-AS1
10115	RP11-744N12.3
10116	SENCR
10117	RP11-237N19.3
10118	LINC01395
10119	RP11-507F16.5
10120	LINC00167
10121	ZBTB44-DT
10122	LINC02873
10123	RP11-890B15.4
10124	LINC02551
10125	RP11-890B15.3
10126	AP002856.4
10127	AP002856.6
10128	AP002856.7
10129	AP002856.5
10130	AP003025.2
10131	RP11-217L21.1
10132	NTM-AS1
10133	AP004372.1
10134	RP11-697E14.2
10135	NTM-IT
10136	RP11-684N3.1
10137	RP11-654C20.1
10138	OPCML-IT2
10139	AP004782.1
10140	RP11-861E23.2
10141	OPCML-IT1
10142	RP11-138O22.1
10143	LINC02743
10144	LINC02730
10145	LINC02731
10146	RP11-713P17.4
10147	RP11-700F16.3
10148	B3GAT1-DT
10149	AP004550.1
10150	RP11-469N6.5
10151	RP11-469N6.3
10152	RP11-469N6.4
10153	LINC02706
10154	LINC02714
10155	RP11-555G19.4
10156	LINC02697
10157	RP11-555G19.2
10158	LINC02717
10159	LINC02684
10160	FAM138D
10161	RP11-598F7.3
10162	RP11-598F7.4
10163	RP11-598F7.5
10164	RP11-598F7.6
10165	RP11-283I3.1
10166	SLC6A12-AS1
10167	RP11-283I3.4
10168	RP11-283I3.6
10169	RP5-1154L15.2
10170	RP5-1154L15.1
10171	NINJ2-AS1
10172	LINC02455
10173	RP11-388A16.2
10174	RP11-359B12.2
10175	RP5-951N9.1
10176	RP5-951N9.2
10177	LINC00942
10178	RP11-21K20.4
10179	RP11-21K20.5
10180	RP5-1096D14.3
10181	LINC00940
10182	RP5-1096D14.6
10183	CACNA1C-IT1
10184	RP1-53O8.2
10185	CACNA1C-AS4
10186	CACNA1C-IT3
10187	RP5-977L1.2
10188	RP4-696F19.1
10189	CACNA1C-AS3
10190	CACNA1C-AS2
10191	CACNA1C-AS1
10192	ITFG2-AS1
10193	LINC02371
10194	RP4-816N1.7
10195	RP11-372B4.3
10196	RP11-253E3.3
10197	TSPAN9-IT1
10198	RP11-543P15.3
10199	RP5-1063M23.4
10200	LINC02827
10201	LINC02417
10202	RP11-476M19.3
10203	THCAT155
10204	RP5-1180D12.1
10205	RP3-488M23.3
10206	PARP11-AS1
10207	RP11-320N7.2
10208	CCND2-AS1
10209	RP11-500M8.4
10210	GAU1
10211	RP11-234B24.4
10212	RP3-377H17.2
10213	RP3-377H17.4
10214	RP3-377H17.5
10215	RP11-429A20.3
10216	RP3-377H17.3
10217	RP11-429A20.5
10218	LINC02443
10219	RP11-1038A11.3
10220	RP11-319E16.2
10221	RP11-1038A11.2
10222	RP11-1038A11.1
10223	RP3-454B23.1
10224	RP1-102E24.8
10225	CD27-AS1
10226	RP1-102E24.10
10227	SCARNA10
10228	RP5-940J5.3
10229	RP5-940J5.9
10230	RP5-940J5.8
10231	RP5-940J5.6
10232	RP4-761J14.8
10233	RP4-761J14.9
10234	RP4-761J14.10
10235	U47924.32
10236	U47924.31
10237	MIR200CHG
10238	U47924.29
10239	C1RL-AS1
10240	RP11-273B20.1
10241	RP11-273B20.5
10242	RP11-273B20.3
10243	RP11-277J24.7
10244	RP11-69M1.9
10245	RP11-69M1.8
10246	RP11-69M1.6
10247	RP11-266K4.15
10248	FAM66C
10249	RP11-266K4.13
10250	RP11-266K4.14
10251	LINC02449
10252	RP11-90D4.7
10253	RP11-90D4.8
10254	LINC00937
10255	RP11-90D4.3
10256	RP11-561P12.5
10257	RP11-438L7.1
10258	RP11-20D14.3
10259	A2ML1-AS1
10260	RP11-20D14.6
10261	A2ML1-AS2
10262	RP11-259O18.5
10263	RP11-259O18.4
10264	LINC00612
10265	A2M-AS1
10266	LINC00987
10267	RP11-118B22.2
10268	RP11-22B23.4
10269	LINC02367
10270	RP11-22B23.5
10271	RP11-726G1.2
10272	RP11-705C15.5
10273	RP11-705C15.4
10274	RP11-705C15.3
10275	LINC02390
10276	RP11-290C10.1
10277	LINC02470
10278	CLEC12A-AS1
10279	RP11-133L14.5
10280	GABARAPL1-AS1
10281	LINC02617
10282	LINC02598
10283	KLRK1-AS1
10284	LINC02446
10285	LINC02366
10286	RP11-785H5.2
10287	RP11-711K1.8
10288	RP11-711K1.7
10289	RP11-434C1.2
10290	LINC01252
10291	LOH12CR2
10292	RP11-253I19.3
10293	RP11-180M15.6
10294	RP11-180M15.3
10295	RP11-180M15.4
10296	GPRC5D-AS1
10297	RP11-392P7.7
10298	RP11-377D9.3
10299	RP11-161A14.3
10300	LINC01559
10301	RP11-4N23.1
10302	RP11-4N23.4
10303	RP11-154I21.1
10304	RP11-134N1.2
10305	RP11-502N13.2
10306	PLBD1-AS1
10307	RP11-174G6.1
10308	RP11-174G6.5
10309	RP11-233G1.8
10310	RP11-233G1.4
10311	LINC01489
10312	RERG-IT1
10313	RERG-AS1
10314	RP11-6B19.1
10315	RP11-473N11.4
10316	RP11-424M22.3
10317	RP11-239A17.1
10318	RP11-69C13.1
10319	RP11-74N9.2
10320	RP11-287J11.1
10321	RP11-606D9.1
10322	LINC02378
10323	RP11-361I14.2
10324	RP11-282K24.3
10325	RP11-678N14.1
10326	RP11-405A12.2
10327	LINC02398
10328	RP11-664H17.2
10329	LINC02468
10330	RP11-284H19.1
10331	RP11-59N23.3
10332	RP11-59N23.1
10333	RP11-729I10.2
10334	RP11-729I10.3
10335	RP11-49G2.3
10336	RP11-73M14.1
10337	RP11-268P4.5
10338	RP11-359J14.2
10339	RP11-268P4.4
10340	RP11-114G22.1
10341	RP11-449P1.1
10342	RP11-153K16.1
10343	RP11-153K16.2
10344	RP11-437F6.1
10345	SOX5-AS1
10346	LINC00477
10347	RP11-625L16.1
10348	RP11-625L16.3
10349	RP11-662I13.3
10350	RP11-662I13.2
10351	C12orf77
10352	RP11-713N11.4
10353	RP11-713N11.6
10354	RP11-295I5.3
10355	RP11-295I5.4
10356	RP11-707G18.1
10357	RP11-318G8.4
10358	RP11-685B13.2
10359	RP11-443N24.2
10360	RP11-443N24.3
10361	RP11-443N24.4
10362	RASSF8-AS1
10363	RP11-283G6.3
10364	RP11-283G6.7
10365	RP11-283G6.4
10366	RP11-283G6.5
10367	RP11-283G6.6
10368	RP11-612B6.6
10369	RP11-612B6.1
10370	RP11-513G19.1
10371	RP11-612B6.2
10372	RP11-666F17.1
10373	RP11-421F16.3
10374	RP11-582E3.6
10375	RP11-582E3.2
10376	ARNTL2-AS1
10377	RP11-709A23.1
10378	RP11-1060J15.4
10379	RP11-1060J15.9
10380	RP11-1060J15.7
10381	RP11-860B13.1
10382	RP11-860B13.3
10383	RP11-993B23.3
10384	RP11-967K21.1
10385	RP11-425D17.1
10386	RP11-425D17.2
10387	RP11-977P2.1
10388	RP11-946L16.1
10389	RP11-946L16.2
10390	RP11-996F15.4
10391	RP11-996F15.2
10392	RP11-996F15.5
10393	RP11-996F15.6
10394	OVCH1-AS1
10395	RP11-310I24.1
10396	RP11-776A13.5
10397	RP11-776A13.1
10398	LINC02386
10399	RP11-155I9.1
10400	RP11-77I22.5
10401	RP11-77I22.2
10402	LINC00941
10403	DDX11-AS1
10404	RP11-627K11.6
10405	FLJ13224
10406	LINC02387
10407	RP11-771K4.3
10408	DENND5B-AS1
10409	RP11-820K3.7
10410	RP11-467L13.7
10411	LINC02422
10412	RP11-50I19.2
10413	RP11-843B15.2
10414	RP11-843B15.4
10415	RP11-817I4.1
10416	RP11-817I4.2
10417	RP11-278C7.4
10418	RP11-278C7.3
10419	RP11-278C7.5
10420	RP11-8P13.6
10421	RP11-8P13.5
10422	RP11-267D19.1
10423	RP11-438D14.2
10424	RP11-438D14.3
10425	RP11-847H18.2
10426	RP11-847H18.3
10427	RP11-313F23.3
10428	RP11-313F23.4
10429	RP11-297L6.3
10430	RP11-804F13.1
10431	CPNE8-AS1
10432	LINC02406
10433	RP11-242C24.5
10434	RP11-242C24.4
10435	LINC02555
10436	LINC02471
10437	LRRK2-DT
10438	RP11-115F18.1
10439	RP11-385G16.1
10440	RP11-413B19.2
10441	LINC02400
10442	RP11-630C16.2
10443	RP11-2A1.2
10444	RP11-351C21.2
10445	RP11-328C8.4
10446	RP11-328C8.5
10447	LINC02402
10448	LINC02451
10449	LINC02450
10450	RP11-547C5.1
10451	RP11-547C5.2
10452	LINC02461
10453	RP11-46I1.1
10454	RP11-499A10.3
10455	RP11-499A10.4
10456	RP11-478B9.1
10457	RP11-139E19.4
10458	RP11-139E19.3
10459	RP11-352M15.1
10460	RP11-352M15.2
10461	RP11-19E18.2
10462	RP11-474P2.5
10463	RP11-474P2.2
10464	RP11-96H19.1
10465	RP11-474P2.4
10466	RP11-474P2.6
10467	RP11-474P2.7
10468	RP11-446N19.1
10469	RP11-618L22.1
10470	PCED1B-AS1
10471	RP11-493L12.3
10472	RP11-493L12.4
10473	RP11-493L12.7
10474	LINC02416
10475	LINC02156
10476	RP1-197B17.5
10477	RP1-197B17.3
10478	RP1-197B17.7
10479	RP1-197B17.4
10480	CTD-2024F21.1
10481	RP5-1057I20.4
10482	RP5-1057I20.5
10483	RP5-1057I20.6
10484	LINC02354
10485	RP11-89H19.1
10486	RP11-89H19.2
10487	RP1-228P16.9
10488	RP1-228P16.3
10489	RP1-228P16.4
10490	RP1-228P16.5
10491	RP1-228P16.8
10492	RP11-474C8.8
10493	RP11-474C8.7
10494	RP11-370I10.12
10495	RP11-370I10.2
10496	RP11-370I10.10
10497	RP11-370I10.6
10498	RP11-370I10.11
10499	RP11-722P11.4
10500	RP11-579D7.2
10501	ADCY6-DT
10502	RP11-386G11.3
10503	DDN-AS1
10504	RP11-386G11.8
10505	RP11-386G11.10
10506	RP11-977B10.2
10507	RP11-161H23.5
10508	RP11-161H23.9
10509	RP11-133N21.13
10510	RP11-133N21.10
10511	BCDIN3D-AS1
10512	RP11-70F11.7
10513	LINC02395
10514	LINC02396
10515	RP11-469H8.6
10516	RP11-469H8.8
10517	RP4-605O3.4
10518	RP3-405J10.3
10519	RP3-405J10.4
10520	RP11-407N8.6
10521	RP11-407N8.5
10522	RP11-454E5.4
10523	SLC4A8-AS1
10524	RP11-923I11.3
10525	RP11-923I11.4
10526	RP11-923I11.6
10527	FIGNL2-DT
10528	NR4A1AS
10529	RP11-1100L3.7
10530	RP1-288H2.2
10531	LINC00592
10532	LINC02874
10533	KRT7-AS
10534	RP11-845M18.7
10535	RP11-259K21.6
10536	RP11-845M18.6
10537	RP3-416H24.4
10538	RP11-1020M18.10
10539	KRT73-AS1
10540	RP11-641A6.3
10541	RP11-983P16.2
10542	RP11-983P16.4
10543	RP11-1136G11.8
10544	RP11-680A11.7
10545	MYG1-AS1
10546	RP11-793H13.8
10547	PCBP2-OT1
10548	RP11-793H13.11
10549	RP11-793H13.3
10550	RP11-793H13.14
10551	RP11-686F15.4
10552	CISTR
10553	RP11-686F15.2
10554	HOXC13-AS
10555	HOTAIR
10556	HOXC-AS3
10557	HOXC-AS2
10558	HOXC-AS1
10559	RP11-834C11.14
10560	AC012531.25
10561	FLJ12825
10562	RP11-834C11.6
10563	FAM242C
10564	LINC02381
10565	RP11-834C11.11
10566	RP11-834C11.10
10567	RP11-834C11.8
10568	SCAT2
10569	RP11-968A15.8
10570	RP11-753H16.3
10571	RP11-753H16.5
10572	LINC01154
10573	RP11-1049A21.2
10574	RP11-850F7.7
10575	RP11-616L12.1
10576	RP11-110A12.2
10577	RP11-644F5.16
10578	RP11-644F5.11
10579	RP11-762I7.4
10580	RP11-973D8.5
10581	RP11-973D8.4
10582	RP11-603J24.21
10583	RP11-603J24.4
10584	RP11-603J24.17
10585	RP11-603J24.6
10586	RP11-603J24.5
10587	RP11-603J24.14
10588	RP11-977G19.5
10589	RP11-977G19.14
10590	RP11-977G19.11
10591	RP11-977G19.12
10592	RP11-121C6.5
10593	RP11-474N8.10
10594	LRP1-AS
10595	RP11-123K3.9
10596	RP11-756H6.1
10597	RP11-181L23.11
10598	AC025165.8
10599	RP11-571M6.7
10600	AGAP2-AS1
10601	RP11-571M6.17
10602	RP11-571M6.18
10603	RP11-620J15.1
10604	RP11-620J15.2
10605	RP11-620J15.4
10606	GIHCG
10607	LINC02403
10608	RP11-489P6.1
10609	RP11-489P6.2
10610	RP11-362K2.2
10611	LINC02388
10612	RP11-150C16.1
10613	RP11-150C16.2
10614	RP11-272B17.3
10615	RP11-272B17.1
10616	LINC02448
10617	RP11-316A16.1
10618	RP11-316A16.2
10619	RP11-410B16.2
10620	RP11-769N19.2
10621	RP11-863H1.1
10622	LINC01465
10623	RP11-631N16.2
10624	RP11-631N16.4
10625	RP11-848D3.5
10626	RP11-715H19.2
10627	RP11-1022B3.1
10628	RP11-415I12.3
10629	RXYLT1-AS1
10630	RP11-274J7.2
10631	RP11-196H14.2
10632	RP11-196H14.5
10633	RP11-196H14.4
10634	RP11-196H14.3
10635	RP11-114F3.4
10636	RP11-439H13.3
10637	RP11-439H13.2
10638	RP11-338E21.1
10639	RP11-338E21.2
10640	RP11-338E21.3
10641	RP11-629N8.5
10642	RP11-629N8.4
10643	RP11-629N8.6
10644	LINC02389
10645	LINC02231
10646	RP11-168J19.2
10647	RP11-305O6.4
10648	RP11-305O6.3
